experiment,technique,prompt_id,length_bucket,task,dataset,run,reference_exact_match,reference_contains_match
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_01,short,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_02,short,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_03,short,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_04,short,long_context_retrieval,needle_in_a_haystack,1,0.0,0.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_05,short,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_06,short,long_context_retrieval,needle_in_a_haystack,1,0.0,0.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_07,short,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_08,short,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_09,short,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_short_10,short,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_01,medium,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_02,medium,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_03,medium,long_context_retrieval,needle_in_a_haystack,1,0.0,0.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_04,medium,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_05,medium,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_06,medium,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_07,medium,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_08,medium,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_09,medium,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_medium_10,medium,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_01,long,long_context_retrieval,needle_in_a_haystack,1,0.0,0.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_02,long,long_context_retrieval,needle_in_a_haystack,1,0.0,0.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_03,long,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_04,long,long_context_retrieval,needle_in_a_haystack,1,0.0,0.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_05,long,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_06,long,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_07,long,long_context_retrieval,needle_in_a_haystack,1,1.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_08,long,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_09,long,long_context_retrieval,needle_in_a_haystack,1,0.0,0.0
ollama_gemma4_e4b_q4km,ollama_q4_gguf,needle_long_10,long,long_context_retrieval,needle_in_a_haystack,1,0.0,1.0
